Epoch,TrainError,ValidError,TestError
1,80.39391,89.57111,87.8147
2,67.21222,76.45482,77.0388
3,54.43353,64.10343,67.6089
4,41.41264,38.78044,51.2114
5,29.69055,22.26365,34.8614
6,21.99946,15.77266,26.1045
7,16.60877,10.74947,20.0158
8,12.73168,7.51428,15.8670
9,10.26479,5.37479,12.3357
10,8.637410,4.806210,11.5123
11,7.336211,3.762311,9.6912
12,6.039612,3.266112,8.6065
13,5.177113,2.780413,7.5851
14,4.585714,2.491014,7.3001
15,4.157315,2.170515,6.8250
16,3.624516,1.953516,6.5558
17,3.316717,1.819117,6.2312
18,2.952618,1.664118,6.0174
19,2.903219,1.519419,5.5661
20,2.556420,1.416020,5.3840
21,2.450821,1.209321,5.0752
22,2.261322,1.219622,4.9406
23,2.147623,0.992223,4.4101
24,1.968424,0.981924,4.3705
25,1.862825,0.950925,4.4181
26,1.723826,0.899226,4.3943
27,1.676727,0.847527,4.1251
28,1.614728,0.806228,4.1172
29,1.536629,0.723529,4.0697
30,1.486130,0.682230,4.0143
